athlete_code,name,gender,country_code,country,nationality_code,nationality,disciplines,events,birth_date,birth_country,hobbies,occupation,lang,reason,hero,medal_type,medal_code,medal_date,has_medal
1552383,SOTTILE Stefano,Male,ITA,Italy,ITA,Italy,['Athletics'],"[""Men's High Jump""]",1998-01-26,Italy,"Computer programming, basketball, volleyball",Athlete,"English, Italian","Followed his brother, who was a javelin thrower, into athletics. ""I tried all athletics disciplines but the high jump scared me (at first). At my first competition I only managed 1.05m. But one day when I must have been nine or 10 years old I progressed from 1.10m to 1.34m. From there it became my favourite discipline."" (myInfo)","Javelin thrower Jan Zelezny (CZE), three-time Olympic champion (1992, 1996, 2000), three-time world champion (1993, 1995, 2001), world record holder.</p><p>Sprinter Usain Bolt (JAM), eight-time Olympic champion (two in 2008, three in 2012, three in 2016);14-time world championship medallist (11 gold, two silver, one bronze)",None,None,None,False
1552384,STECCHI Claudio Michel,Male,ITA,Italy,ITA,Italy,['Athletics'],"[""Men's Pole Vault""]",1991-11-23,Italy,"Swimming in the sea, cycling, walking his dogs",Athlete,"English, Italian",,"Pole vaulter Giuseppe Gibilisco (ITA), 2004 Olympic bronze medallist, 2003 world champion. </p><p>High jumper Gianmarco Tamberi (ITA), 2020 Olympic champion, 2023 world champion, two-time world indoor championship medallist (2016 gold, 2022 bronze). </p><p>Surfer Kelly Slater (USA), 11-time world champion. </p><p>Cyclist Marco Pantani (ITA), 2000 Olympian (road), 1995 Road World Championship bronze medallist, winner of the Tour de France/Giro d'Italia double (1998). </p><p>Motorcycle racer Valentino Rossi (ITA), seven-time world champion (2001-2005, 2008, 2009)",None,None,None,False
1552385,TAMBERI Gianmarco,Male,ITA,Italy,ITA,Italy,['Athletics'],"[""Men's High Jump""]",1992-06-01,Italy,Basketball,Athlete,"English, Italian",Played basketball (guard) in Stamura Ancona before following his father and grandfather into high jump,"Basketball player Tracy McGrady (USA), was drafted into the National Basketball Association (NBA) by the Toronto Raptors in 1997. In his 16-year career with seven teams, he earned seven All-NBA honours (2001-05, 2007-08), seven All-Star selections (2001-07), two NBA scoring titles (2003-04), and won the NBA Most Improved Player Award in 2001. One of the greatest scorers and shooting guards in NBA history",None,None,None,False
1552386,FABBRI Leonardo,Male,ITA,Italy,ITA,Italy,['Athletics'],"[""Men's Shot Put""]",1997-04-15,Italy,"Supporting Italian football team Fiorentina, watching TV, going to the cinema, listening to Italian music",Athlete,Italian,Comes from a sporting family. His father was a sprinter and his mother was involved in swimming,"Shot putter David Storl (GER), 2012 Olympic silver medallist, three-time world championship medallist (two gold, one silver), three-time world indoor championship silver medallist (2012, 2014, 2018). </p><p>Footballer Luca Toni (ITA), FIFA World Cup winner (2006), two-time Bundesliga winner with Bayern Munich. Scored 157 Serie A goals in 344 games for eight different clubs and was Europe's top goalscorer in the 2005-06 season",None,None,None,False
1552387,FANTINI Sara,Female,ITA,Italy,ITA,Italy,['Athletics'],"[""Women's Hammer Throw""]",1997-09-16,Italy,"Music, art, history, horse riding",Athlete,"English, Italian","“My parents were throwing athletes but they didn't direct me to the sport, otherwise I'm sure I would have refused it. Since I was a child I have practised sports like volleyball, basketball, dance, and then also tennis and horse riding at a competitive level. But gradually I approached the world of athletics, and I started trying different disciplines both in the field of throwing but also in running. Hammer throw was the discipline that I immediately felt suited me perfectly, in the sense that the basic technique was easy for me.” (myInfo)",,None,None,None,False
1552389,OSAKUE Daisy,Female,ITA,Italy,ITA,Italy,['Athletics'],"[""Women's Discus Throw""]",1996-01-16,Italy,,"Athlete, student","English, Italian, Spanish",,,None,None,None,False
1552390,WEIR Zane,Male,ITA,Italy,ITA,Italy,['Athletics'],"[""Men's Shot Put""]",1995-09-07,South Africa,"Collecting second-hand books, reading (especially psychology books), open-water swimming",Athlete,"English, Italian","“Shot put was first introduced to me at a general athletics camp, which I was invited to because of my sprinting performances. We had the opportunity to throw plastic honey containers filled with beach sand. This gave our coach at the time an indication that something in the sport resonated with my ability. From there, I grew from strength to strength within the sport.” (myInfo)",,None,None,None,False
1552392,GEREVINI Sveva,Female,ITA,Italy,ITA,Italy,['Athletics'],"[""Women's Heptathlon""]",1996-05-31,Italy,Relaxing by the sea,Athlete,Italian,"When she was in first grade of school the janitor Roberto saw her running and jumping in the corridors and contacted her grandmother, who got her to try athletics",,None,None,None,False
1552394,FORTUNATO Francesco,Male,ITA,Italy,ITA,Italy,['Athletics'],"[""Men's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1994-12-13,Italy,"Running, Caribbean dancing",Athlete,Italian,,,None,None,None,False
1552395,GIORGI Eleonora Anna,Female,ITA,Italy,ITA,Italy,['Athletics'],"[""Women's 20km Race Walk""]",1989-09-14,Italy,"Shopping, reading, cooking, listening to music, sport, travelling, politics",Athlete,Italian,,,None,None,None,False
1552403,LAKLALECH Ines,Female,MAR,Morocco,MAR,Morocco,['Golf'],"[""Women's Individual Stroke Play""]",1997-10-30,Morocco,,,"Arabic, E, French",,,None,None,None,False
1552443,GOBADZE Lasha,Male,GEO,Georgia,GEO,Georgia,['Wrestling'],"[""Men's Greco-Roman 87kg""]",1994-01-10,Georgia,Motorsport,Athlete,"Georgian, Russian",,Wrestler Buvaisar Saitiev (RUS),None,None,None,False
1552444,KOBLIASHVILI Roberti,Male,GEO,Georgia,GEO,Georgia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1993-12-06,Georgia,,Athlete,Georgian,,,None,None,None,False
1552449,ZOIDZE Ramaz,Male,GEO,Georgia,GEO,Georgia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-02-13,Georgia,,Athlete,Georgian,,,None,None,None,False
1552495,MATCHARASHVILI Givi,Male,GEO,Georgia,GEO,Georgia,['Wrestling'],"[""Men's Freestyle 97kg""]",1997-05-17,Georgia,,,"English, Georgian",,,Silver Medal,2.0,2024-08-11,True
1552548,ANTOGNELLI Quentin,Male,MON,Monaco,MON,Monaco,['Rowing'],"[""Men's Single Sculls""]",1994-08-15,Monaco,Playing video games,Athlete,"English, French, Italian","He was inspired by his father, who was involved in rowing. ""Since I was little, I saw him rowing. I was always drawn to the sea when I was young and all the sports I played had to do with the sea or the water. I wanted to try this sport and I became hooked. I started with friends for pleasure and, as we went along, we got involved in departmental and regional regattas, then the French championships. It's a sport in which you don't have to start early to reach a high level."" (myInfo)",,None,None,None,False
1552556,GADEAU Marvin,Male,MON,Monaco,MON,Monaco,['Judo'],['Men +100 kg'],2000-09-06,Monaco,Playing chess and backgammon,Athlete,"English, French","Started because he was a very restless child, and his godfather's wife advised his mother to have him try judo, after which he was hooked","Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles (as of 10 SEP 2023), 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020)",None,None,None,False
1552558,DRUENNE Theo,Male,MON,Monaco,MON,Monaco,['Swimming'],"[""Men's 800m Freestyle""]",2005-07-19,Monaco,Basketball,,French,,"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)",None,None,None,False
1552569,POU Lisa,Female,MON,Monaco,MON,Monaco,['Marathon Swimming'],"[""Women's 10km""]",1999-05-28,France,"Photography, baking",,French,"She followed her father who was coaching at La Semeuse (Nice, FRA). ""I liked swimming these longer distances and being able to stay in my bubble without anyone bothering me. I liked being alone."" (monacomatin.mc, 7 April 2024)",,None,None,None,False
1552575,YANG Xiaoxin,Female,MON,Monaco,MON,Monaco,['Table Tennis'],"[""Women's Singles""]",1988-01-08,China,,Athlete,"French, Mandarin",,,None,None,None,False
1553020,GASTAUD Marie-Charlotte,Female,MON,Monaco,MON,Monaco,['Athletics'],"[""Women's 100m""]",1999-11-30,,,,,,,None,None,None,False
1553021,MICHELI Elena,Female,ITA,Italy,ITA,Italy,['Modern Pentathlon'],"[""Women's Individual""]",1999-04-29,Italy,"Watching TV, going to the mountains, skiing, listening to music, shopping, playing with her dogs Amber and Rio - a pair of mother-and-daughter Rottweilers",Athlete,Italian,"She and her brothers took up modern pentathlon after being encouraged by their swimming coach. ""At the beginning it was just a hobby. When we began to go further it became a big effort. With the first national and international podiums, I realised that this sport would be the main focus in my life."" (myInfo)","Swimmer Federica Pellegrini (ITA), two-time Olympic 200m freestyle medallist (2008 gold, 2004 silver), five-time Olympian (2004, 2008, 2012, 2016, 2020), 11-time world championship medallist (six gold, four silver, one bronze)",None,None,None,False
1553029,SOTERO Alice,Female,ITA,Italy,ITA,Italy,['Modern Pentathlon'],"[""Women's Individual""]",1991-05-28,Italy,"Travelling, reading, skiing, shopping","Police athlete, prison worker",Italian,"Practised swimming but her results were not good enough, so her coach switched her to modern pentathlon. ""Almost immediately I was able to compete at national level. Little by little, my love for the sport blossomed. The spark for competitive sport came in 2004 after watching the Olympic Games in Athens. It was when [Italian swimmer] Federica Pellegrini won silver, and I thought, 'I want to try it, too'."" (myInfo)","Swimmer Federica Pellegrini (ITA), two-time Olympic 200m freestyle medallist (2008 gold, 2004 silver), five-time Olympian (2004, 2008, 2012, 2016, 2020), 11-time world championship medallist (six gold, four silver, one bronze)",None,None,None,False
1553031,MALAN Giorgio,Male,ITA,Italy,ITA,Italy,['Modern Pentathlon'],"[""Men's Individual""]",2000-01-27,Italy,"Like skiing and cycling, and playing piano and guitar",,Italian,,,Bronze Medal,3.0,2024-08-10,True
1553033,CICINELLI Matteo,Male,ITA,Italy,ITA,Italy,['Modern Pentathlon'],"[""Men's Individual""]",1998-03-12,Italy,Listening to music,"Athlete, police officer","English, Italian","He showed talent in swimming, so he was later introduced to the other pentathlon disciplines",,None,None,None,False
1553039,SMIKLE Traves,Male,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Men's Discus Throw""]",1992-05-07,Jamaica,,Athlete,"English, French",,,None,None,None,False
1553247,EDER Josefin,Female,GER,Germany,GER,Germany,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",1995-10-01,Germany,"Riding, keeping fit (weights, jogging, inline skating, SUP and cycling)",Police inspector,"English, German",Influenced by her parents,,None,None,None,False
1553249,UNRUH Florian,Male,GER,Germany,GER,Germany,['Archery'],"[""Men's Individual"", 'Mixed Team']",1993-06-07,Germany,Computer programming,"Athlete, coach, sport soldier",German,"His mother and aunt took him on a bike tour hosted by his hometown's shooting club, with archery available to try at the end of the ride",,Silver Medal,2.0,2024-08-02,True
1553253,BEER Jolyn,Female,GER,Germany,GER,Germany,['Shooting'],['50m Rifle 3 Positions Women'],1994-05-26,Germany,Football,Armed Forces athlete,"English, German","Her mother worked at a shooting club. ""I tried it out at a shooting festival and immediately became a child star. So then the coaches there, Marion and Michael Bohm, brought me into the club. I got better quickly, and with successes, the fun grew."" (sportbuzzer.de, 19 Feb 2020)",,None,None,None,False
1553255,REITZ Christian,Male,GER,Germany,GER,Germany,['Shooting'],"['10m Air Pistol Men', '25m Rapid Fire Pistol Men', '10m Air Pistol Mixed Team']",1987-04-29,Germany,"Programming, reading, breeding reptiles, hunting",Police officer,"English, German",He had an interest in the sport right from the start,,None,None,None,False
1553257,BAUER Katharina,Female,GER,Germany,GER,Germany,['Archery'],"[""Women's Individual"", ""Women's Team""]",1995-09-01,Germany,"Hanging out with friends, hiking","Athlete, social insurance clerk","English, German","""In the beginning it was just about having fun."" (ovb-heimatzeitungen.de, 9 Feb 2019)",,None,None,None,False
1553258,KROPPEN Michelle,Female,GER,Germany,GER,Germany,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",1996-04-19,Germany,"Reading, music, sport, photography","Athlete, police","Dutch, English, German","Her grandmother saw an advertisement for an open day at the local archery club. ""I thought 'That's cool. Like Robin Hood. I'll do it'."" (myInfo)</p><p>""I love the most that I am 100% responsible for my actions and my results, and that I receive immediate feedback after each shot."" (olympics.com, 15 Jun 2020)",,Silver Medal,2.0,2024-08-02,True
1553260,KORTE Sven,Male,GER,Germany,GER,Germany,['Shooting'],"['Skeet Men', 'Skeet Mixed Team']",1990-01-09,Germany,"Hunting, fishing, playing guitar","Athlete, sport soldier","English, German",,,None,None,None,False
1553262,WISSMER Nele,Female,GER,Germany,GER,Germany,['Shooting'],"['Skeet Women', 'Skeet Mixed Team']",1996-12-18,Germany,"Hunting, horse riding, jogging, road cycling, hiking","Soldier, athlete","English, German",Influenced by her grandfather. She also passed the hunting licence test,,None,None,None,False
1553271,MUELLER Lisa,Female,GER,Germany,GER,Germany,['Shooting'],['10m Air Rifle Women'],1992-09-20,Germany,"Reading, spending time with her family and her dog",Soldier,"English, German",Her whole family is actively involved in the sport,,None,None,None,False
1553277,VENNEKAMP Doreen,Female,GER,Germany,GER,Germany,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",1995-04-05,Germany,"Hunting, reading, spending time in nature","Athlete, soldier","English, German, Spanish","""My hometown shooting club started a fun competition. Everybody in town could go along and try shooting. One day I joined in and I have never left shooting since."" (ISSF, 8 Feb 2024)","Shooter Christian Reitz (GER), two-time Olympic rapid fire pistol medallist (2016 gold, 2008 bronze), 11-time world championship medallist (five gold, five silver, one bronze)",None,None,None,False
1553280,MESSERSCHMIDT Nadine,Female,GER,Germany,GER,Germany,['Shooting'],['Skeet Women'],1993-09-15,Germany,Spending time with her daughter,"Soldier, athlete","English, German",,,None,None,None,False
1553285,SCHWARZ Charline,Female,GER,Germany,GER,Germany,['Archery'],"[""Women's Individual"", ""Women's Team""]",2001-01-15,Germany,"Mountain biking, baking","Athlete, police officer","English, German","Her mother is an archer and her father a coach. ""I grew up at Feuchter Bogenplatz (archery club). I have always wanted to shoot (arrows) myself. My first bow was four pounds and shot three metres. At that time I was three. When I was five I went to the youth training group and the youth trainer Norbert did not send me away."" (myInfo)",,None,None,None,False
1553289,MURCHE Kathrin,Female,GER,Germany,GER,Germany,['Shooting'],['Trap Women'],1999-11-16,Germany,Hunting,"Athlete, soldier","English, French, German",Through her family,,None,None,None,False
1553293,ULBRICH Maximilian,Male,GER,Germany,GER,Germany,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men', '10m Air Rifle Mixed Team']",2000-11-27,Germany,"Hiking, friends, nature, family, peace and quiet",Police officer,"English, French, German, Italian","""My father is club chairman, so as a young boy I automatically joined."" (Athlete, 27 May 2024)","Shooter Wolfram Waibel Jr (AUT), two-time 1996 Olympic medallist (10m air rifle silver, 50m rifle 3 positions bronze), 1994 World Championships bronze medallist (50m rifle 3 positions bronze)",None,None,None,False
1553294,JANSSEN Anna,Female,GER,Germany,GER,Germany,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",2001-08-28,Germany,,Student,"English, German","Her former coach, Rudi Joosten, asked her older brother Simon if she and her twin sister Franka may enjoy the sport. ""I went along, I liked it and I did pretty well right away considering I'd never done it before. That’s how it developed.” (dsb.de, 22 Jul 2020)",,None,None,None,False
1553299,WALTER Robin,Male,GER,Germany,GER,Germany,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",1999-07-09,Germany,"Plants, baking, pizza, Star Wars, software development",Student,"English, German",His father participated in a 24-hour shooting marathon competition and he went along and shot with an air pistol for the first time,,None,None,None,False
1553301,PETER Florian,Male,GER,Germany,GER,Germany,['Shooting'],['25m Rapid Fire Pistol Men'],2000-01-27,Germany,"Riding a motorbike, playing billiards","Athlete, soldier","English, German","He wanted to learn to have fun, while concentrating at the same time","Shooter Doreen Vennekamp (GER), 2020 Olympian, six-time world championship pistol medallist (two gold, four bronze).</p><p>Shooter Oliver Geis (GER), two-time Olympian (2016, 2020), six-time world championship medallist (two gold, four silver)",None,None,None,False
1553574,LOOSER Vera,Female,NAM,Namibia,NAM,Namibia,['Cycling Road'],"[""Women's Road Race""]",1993-10-28,Namibia,,Athlete,"Afrikaans, English, German","Her cousins cycled so she and her brother wanted to try. She took up both swimming and cycling as a young child but then chose to focus on cycling at age 16. ""I was still swimming at the age of 16 and had to decide which sport to drop and which one to specialise in. I thought I'd have a better chance to do well in cycling because at the time the women's field was not that strong, while swimming was getting a bit monotonous."" (myInfo)",,None,None,None,False
1553663,BERTONE Oriane,Female,FRA,France,FRA,France,['Sport Climbing'],"[""Women's Boulder & Lead""]",2005-03-10,France,"Fishing, going to the cinema, shopping",Athlete,"English, French","Her sister was taking dance classes and there was a rock wall next to the gym. Started climbing the wall while waiting for her sister. “I happened to like it and I was trying to make it as hard as possible. That was the start of it.” (olympics.com, 7 Jul 2023)",,None,None,None,False
1553664,MAWEM Bassa,Male,FRA,France,FRA,France,['Sport Climbing'],"[""Men's Speed""]",1984-11-09,France,,"Athlete, coach",French,"""Climbing brings me balance, a moment in which I detach from work, family. A moment in which I don't think neither about the future nor all those things that I still have to do. In simple words, it is my moment."" (myInfo)",,None,None,None,False
1553666,AVEZOU Zelia,Female,FRA,France,FRA,France,['Sport Climbing'],"[""Women's Boulder & Lead""]",2004-04-10,France,,,French,Followed her mom and older brothers into the sport,,None,None,None,False
1553674,JENFT Paul,Male,FRA,France,FRA,France,['Sport Climbing'],"[""Men's Boulder & Lead""]",2003-06-16,France,"Mountain biking, playing the piano, playing darts, outdoor activities","Athlete, student",French,"Wanted to climb just like his sister in a club in La Rochette in Savoie, France",,None,None,None,False
1553677,AVEZOU Sam,Male,FRA,France,FRA,France,['Sport Climbing'],"[""Men's Boulder & Lead""]",2001-03-22,France,,,French,Followed his mother into the sport,,None,None,None,False
1553685,VIGLIONE Capucine,Female,FRA,France,FRA,France,['Sport Climbing'],"[""Women's Speed""]",2002-12-09,France,,,French,Followed in the footsteps of her older brother,,None,None,None,False
1553688,LEBON Manon,Female,FRA,France,FRA,France,['Sport Climbing'],"[""Women's Speed""]",2005-03-14,France,,"Student, athlete",French,"""I chose speed because it's faster, it's the same route and you have to be as consistent and precise as possible."" (imazpress.com, 4 Sep 2022)",,None,None,None,False
1553753,WILLIAMS Stacey Ann,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay""]",1999-03-08,Jamaica,,Athlete,English,,,None,None,None,False
1553910,WILLIAMS Kimberly,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's Triple Jump""]",1988-11-03,Jamaica,"Yoga, pilates, meditation",Athlete,English,"For a while she wanted to be a tennis player. “That didn't work out as I wasn't any good at tennis, but then I was watching the Olympics in 2008 (Beijing) and I saw some girls doing the triple jump and I thought that looked fun to try.” (myInfo)","Tennis player Serena Williams (USA), winner of 23 Grand Slam singles titles, 2012 Olympic singles champion, three-time Olympic doubles champion (2000, 2008, 2012).</p><p>Tennis player Venus Williams (USA), winner of seven Grand Slam singles titles, 2000 Olympic singles champion, three-time Olympic doubles champion (2000, 2008, 2012), 2016 mixed doubles silver medallist",None,None,None,False
1553912,WILLIAMS Danielle,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's 100m Hurdles""]",1992-09-14,Jamaica,"Reading, watching TV, cooking",Athlete,English,Discovered the hurdles by chance in her first year at high school. “The coach arranged some sticks and instructed us to jump over them and I was doing pretty well so I continued at it. I liked the challenge because not many people were doing the hurdles at the time and I decided to take it on and I fell in love with it.” (myInfo),,None,None,None,False
1553914,WILLIAMS Ashley,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",1996-10-25,,,Athlete,English,,,None,None,None,False
1554140,HAFFARI Driss,Male,MAR,Morocco,MAR,Morocco,['Shooting'],['Trap Men'],1995-04-24,,,,"Berber, English, French",,,None,None,None,False
1554520,THOMAS-DODD Danniel,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's Shot Put""]",1992-11-11,Jamaica,,Athlete,English,,,None,None,None,False
1554523,SALMON Shiann,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay""]",1999-03-31,Jamaica,,Athlete,English,,,None,None,None,False
1554524,RUSSELL Janieve,Female,JAM,Jamaica,JAM,Jamaica,['Athletics'],"[""Women's 400m Hurdles""]",1993-11-14,Jamaica,,Athlete,English,Mother Barbara and sister Tamalee did athletics,"Hurdler Deon Hemmings (JAM), 1996 Olympic 400m hurdles champion (2000 silver) and 4x400m relay silver medallist (2000), five-time world championship medallist. </p><p>Hurdler Melaine Walker (JAM), 2008 Olympic 400m hurdles champion, two-time world championship medallist (2009 gold, 2011 silver)",None,None,None,False
1554526,DRUMMOND Gerald,Male,CRC,Costa Rica,CRC,Costa Rica,['Athletics'],"[""Men's 400m Hurdles""]",1994-09-05,Costa Rica,,Athlete,Spanish,,"Hurdler Felix Sanchez (DOM), two-time Olympic 400m hurdles champion (2004, 2012), three-time world championship medallist (two gold, one silver)",None,None,None,False
1554735,ZEA Gibran,Male,MEX,Mexico,MEX,Mexico,['Fencing'],"[""Men's Sabre Individual""]",1997-06-14,Mexico,,,Spanish,"His brother introduced him to fencing, offering an alternative to football. It was during the Olympic Games London 2012 when he was inspired to pursue the sport competitively, wanting to represent Mexico on such a prestigious stage","Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles, 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020)",None,None,None,False
1554801,SABRI Nur Dhabitah,Female,MAS,Malaysia,MAS,Malaysia,['Diving'],"[""Women's 3m Springboard""]",1999-07-12,Malaysia,Baking,"Athlete, student","English, Malay","Began swimming at age seven but her father, who was a teacher, realised her physique was more suitable for diving and got her to switch sports. ""My father put me into diving after reading an article about it. (Malaysian diver) Pandelela Rinong was a rising star at the time. I fell in love with the sport when I won my first medal at age nine at the 2008 Malaysian Games (SUKMA) in Terengganu."" (myInfo)","Diver Pandelela Rinong (MAS), two-time Olympic medallist (2016 silver, 2012 bronze), seven-time world championship medallist (one silver, six bronze)",None,None,None,False
1554860,JURISIC Fili,Male,CRO,Croatia,CRO,Croatia,['Sailing'],"[""Men's Dinghy""]",1992-09-14,Croatia,"Cycling, climbing the mountains and spending at home in Hvar",Athlete,Croatian,"His family has always been connected to the sea, and as a child he showed great interest in boats and the ocean. His parents took him to the sailing club in Mornar where several Olympians had trained","Sailor Sir Ben Ainslie (GBR), four-time Olympic champion (three in Finn, one in Laser) and 1996 silver medallist (Laser) in five Olympic appearances (1996, 2000, 2004, 2008, 2012)",None,None,None,False
1554885,PETRIASHVILI Geno,Male,GEO,Georgia,GEO,Georgia,['Wrestling'],"[""Men's Freestyle 125kg""]",1994-04-01,Georgia,,Athlete,"English, Georgian, Russian",,"Wrestler David Gobejishvili (GEO), two-time Olympic medallist (1988 gold, 1992 bronze), three-time world championship medallist (two gold, one silver)",Gold Medal,1.0,2024-08-10,True
1554897,CHRISTOFOROU Antri,Female,CYP,Cyprus,CYP,Cyprus,['Cycling Road'],"[""Women's Road Race""]",1992-04-02,Cyprus,,Athlete,"English, Greek","She rode with her friends around the village but when a cycling club was formed in the community, she was one of the first to join. She enjoyed the freedom and the chance of adventure that cycling gave her",,None,None,None,False
1554945,STROEMBERG Carin,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1993-07-10,Sweden,"Crocheting, knitting, baking",Athlete,"Danish, English, Swedish",,,None,None,None,False
1554952,HANSSON Elin,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1996-08-07,Sweden,,"Athlete, revenue controller","English, Spanish, Swedish",,,None,None,None,False
1554957,LINDQVIST Emma,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1997-09-17,Sweden,,Athlete,"English, Swedish",,,None,None,None,False
1554960,ERIKSSON Evelina,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1996-08-20,Sweden,,Athlete,"English, Swedish",,,None,None,None,False
1554963,LUNDSTROEM Mathilda,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1996-12-20,Sweden,,Athlete,"English, Swedish","""I come from a sporty family, so I tried a few different sports."" (myInfo)",,None,None,None,False
1554966,PAVIC Mate,Male,CRO,Croatia,CRO,Croatia,['Tennis'],"[""Men's Doubles"", 'Mixed Doubles']",1993-07-04,Croatia,"Watching movies, football",,"Croatian, English",His father was a tennis coach,"Tennis player David Ferrer (ESP), 2013 French Open finalist, four-time Grand Slam semifinalist (Australian Open, US Open), three-time Olympian (2008, 2012, 2016)",None,None,None,False
1554968,MEKTIC Nikola,Male,CRO,Croatia,CRO,Croatia,['Tennis'],"[""Men's Doubles""]",1988-12-24,Croatia,Watching TV shows and movies,,"Croatian, English",He followed his older brother Luka into the sport,"Tennis player Pete Sampras (USA), 14-time Grand Slam singles champion including seven Wimbledon titles between 1993-2000, two-time Davis Cup champion (1992, 1995), 1992 Olympian",None,None,None,False
1554970,MARTIC Petra,Female,CRO,Croatia,CRO,Croatia,['Tennis'],"[""Women's Singles""]",1991-01-19,Croatia,"Watching TV series and documentaries, spending time with friends, explore new places and cities. Her favourite city to visit is Paris",,"Croatian, English",Her mother introduced her to tennis,,None,None,None,False
1554972,VEKIC Donna,Female,CRO,Croatia,CRO,Croatia,['Tennis'],"[""Women's Singles"", 'Mixed Doubles']",1996-06-28,Croatia,"Reading books, watching movies and TV series",,"Croatian, English, Italian",Her family were involved in a number of different sports. She first tried gymnastics but was forced to stop due to an ankle injury. She then asked her parents to allow her to try tennis and she fell in love with the sport,,Silver Medal,2.0,2024-08-03,True
1554976,ROBERTS Jamina,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1990-05-28,Sweden,,Athlete,"English, Swedish","Encouraged to try the sport by her mother, who also played handball","Footballer Zlatan Ibrahimovic (SWE), a prolific striker who won 34 trophies including 14 league titles. He is Sweden’s all-time top scorer with 62 international goals in 122 matches",None,None,None,False
1554978,CARLSON Jenny,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1995-04-17,Sweden,,Athlete,"English, Swedish",,,None,None,None,False
1554980,RYDE Jessica,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1994-05-18,Sweden,,Athlete,"English, Swedish",,,None,None,None,False
1554982,BUNDSEN Johanna,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1991-06-03,Sweden,"Listening to podcasts, trying new restaurants",Athlete,"English, Swedish","Went along to a handball training session with a friend. ""I wanted to try it out. No one was that keen on handball at home but I thought it was fun."" (myInfo)",,None,None,None,False
1554983,THORLEIFSDOTTIR Kristin,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1998-01-13,Sweden,,Athlete,"English, Swedish",Tried handball at the suggestion of her father,,None,None,None,False
1554984,BLOHM Linn,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1992-05-20,Sweden,,Athlete,"English, Swedish","Played a number of sports, including football, golf and gymnastics, but decided to focus on handball at age 15",,None,None,None,False
1554985,HANSSON Linn,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1997-09-18,Sweden,,Athlete,"English, Swedish",To follow after her older sister,,None,None,None,False
1554994,KOPPANG Nina,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],2002-05-31,Sweden,,Athlete,"English, Swedish",,,None,None,None,False
1554997,LOEFQVIST Olivia,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1998-07-13,Sweden,,Athlete,"English, Swedish",Both her parents played handball,,None,None,None,False
1555001,HVENFELT Sofia,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],1996-04-23,Sweden,,Athlete,"English, Swedish",,,None,None,None,False
1555006,AXNER Tyra,Female,SWE,Sweden,SWE,Sweden,['Handball'],['Women'],2002-03-18,Germany,,Athlete,"English, Swedish",,,None,None,None,False
